Column1,Column2,Column3,Column4
954,URGENTI am absolutely appalled at the service provided by Xero,0,140029
955,I have been asking for a call and nobody will call,1,140029
956,Xero claims they are happy to call you,0,140029
957,I disagree,0,140029
958,I have asked 3 times now and you will not,0,140029
959,Please call 07740306490 and help my bookkeeper,0,140029
960,Thank you,4,140029
961,Hello  I need to set up a Dishonoured Payment account in my chart of accounts to record the fraudulent receive money transaction from our customer and the bank retrieval spend money transaction,0,125719
962,Can anyone please help with where I set this account up in my chart of accounts,3,125719
963,thanksKathryn,4,125719
964,When I import bills in Purchases it works fine but it doesnt update the cost in Inventory,1,134108
965,Is this by design or is there a way to allow this,3,134108
966,Otherwise I have to manually maintain my inventory costs,0,134108
967,I have read what I can and searched the forum but cant find any info on this,0,134108
968,Anyone know an answer,3,134108
969,Thanks Richard,4,134108
970,Hi AllI use Box wwwboxcom extensively for cloud based storage,0,136387
971,It would be great if there was an option to Export a PDF of any report to your Box account from the Export Button Currently there are options for PDF Excel and Google Docs only,0,136387
972,Now I have to export to PDF Save to my desktop then drag into Box,1,136387
973,I know you can publish reports in Xero but I generally only publish final documents not reports I use for working papers etc,0,136387
974,Hi all,0,129000
975,Im looking for something that will use my client list out of Xero,0,129000
976,I need it to do email merge,0,129000
977,Anyone recommend anything,3,129000
978,Im trying to find a definitive answer but had no luck,0,137078
979,My employer wants me to be able to pay employees direct from zero without accessing online banking,0,137078
980,It doesnt seem to be an option,1,137078
981,Can anyone confirm,3,137078
982,If you are a user of Xero and Fergus tell us how you are getting on and your experience so far,0,138758
983,Any tips,3,138758
984,Intuitive job management software designed for tradesmen by tradesmen ,0,138758
985,Quotes schedules invoices timesheets GPS tracking and seamless integration check out ,0,138758
986,Has anyone out in the Xero Community done a large scale change to their chart of accounts,3,126491
987,We are planning a large change and just curious to see how others might have tackled it,0,126491
988,I wanted to keep an original copybackup of our data up to 12312015 and then roll over a new copydatabase for 2016 and make the changes there,0,126491
989,However Xero doesnt work similarly to QB where you can download a copy of the database and store,0,126491
990,It was suggested to do a major upload of the new GL codes however  that seems fraught with issues and potential overwriting and less out of our control if you are switching codes one by one,1,126491
991,Thoughts,4,126491
992,If you are a user of Xero and Zenoti tell us how you are getting on and your experience so far,0,138412
993,Any tips,3,138412
994,A cloudbased allinone software solution used by spas salons and medispas to manage and grow their business,0,138412
995,For more information check out ,0,138412
996,If you are a user of Xero and EMAC tell us how you are getting on and your experience so far,0,138540
997,Any tips,3,138540
998,Intelligent real time job management and billing tool to keep track of jobs quotes monitor profit margins as well as add labour time and materials,0,138540
999,For more information check out ,0,138540
1000,If you are a user of Xero and e360 tell us how you are getting on and your experience so far,0,138744
1001,Any tips,3,138744
1002,e360 is an integrated website platform for SMEs including Content Management Ecommerce Email Marketing CRM Reports API  Xero integration check out ,0,138744
1003,I have to post in journals for a client payroll but the site wont allow me,1,127310
1004,The charter of accounts shows wages payable as locked and automatically updated through the softwares pay run facilitywhich we are not using,0,127310
1005,Is there any way to unlock this,3,127310
1006,Xero currently isnt recording the expense part of salary sacrifice transactions correctly,1,133835
1007,At present the pre sacrifice amounts allocated to gross wages,0,133835
1008,I would expect the sacrificed amount should be allocated to the appropriate expense,0,133835
1009,For example where there is a gross wage of 1200 and 200 sacrificed for superannuation the gross wage of 1200 goes to wages expense and none of the sacrifice to superannuation expense,0,133835
1010,This means each monthquarteryear manual journals are needed to correct the allocation,0,133835
1011,This becomes more important with other types of salary sacrifice such as motor vehicles where GST applies,0,133835
1012,It would be good to add an expense account to pre tax deduction pay items that auto posts the debit to the appropriate expense and credit to the wages expense account,0,133835
1013,Alternatively if we have the option for the account in the payroll item to be more than just a liability account as is presently the case,0,133835
1014,This would at least allow the credit entry to be allocated against wages,0,133835
1015,This would then shows correct gross wages and allow the salary sacrifice expense to be managed separately,0,133835
1016,Hi guys,0,135171
1017,I have a New Zealand Invoice I am in Australia that I have just paid via Forex so in AUD into a Forex bank account here in Australia,0,135171
1018,How on earth do I enter that into Xero,3,135171
1019,Any advice would be appreciated,4,135171
1020,We are a builder and have a large number of small invoices from wholesalers,0,125631
1021,These we pay in two or more large payments,0,125631
1338,Thanks,4,137883
1022,However they often do not match exactly to a certain number of invoices can you part allocate a payment to an invoice leaving a remaining balance to clear off with the next invoice,3,125631
1023,i cannot find any option to process an employee leaver and therefore produce a P45 document,1,138036
1024,any help much appreciated,4,138036
1025,I like to run my eye down the account transaction to make sure that ever transaction has an invoice attachment,0,136169
1026,The problem is if you create a bill and reconcile it it doesnt register that there is an attachment unless you click on the invoice in the description,1,136169
1027,Having to go through two or three windows to make sure every transaction has an attachment can take a lot of time,0,136169
1028,Is there a way for the account transaction page to register the bill that has been reconciled with that transaction has an attachment,3,136169
1029,Thanks,4,136169
1030,I have just used payroll for the first time and on my first pay run the PAYG YTD is double the amount it should be,1,136875
1031,It is the first pay so it should be the same as This Pay column,0,136875
1032,What have I dont wrong or how can i fix this,3,136875
1033,Many thanks,4,136875
1034,We have offsite staff with debit cards,0,134325
1035,We have set them up as Users with the  Invoice Only InvoicePurchases Only user role,0,134325
1036,They need to be able to access Spend Money in order to take pictures of their receipts and code to gl accounts for their debit card purchases,0,134325
1037,The mobile app is not showing the  plus sign to access spend money,1,134325
1038,We obviously do not want to provide greater levels of access to the staff,0,134325
1039,Is anyone using the mobile appSpend Money with offsite staff and what User role have you had to assign to accomplish this,3,134325
1040,Hiour year end was 31st December 2016,0,125724
1041,I have a conversion balance in opening stock from 31st December 2015,0,125724
1042,No other adjustments to stock have been made for the year 2016 so it has a YTD value of 000,0,125724
1043,We dont use the inventory within Xero as it doesnt suit our business needs,0,125724
1044,I have a figure for closing stock and am not sure where to journal the figures from  to,0,125724
1045,My logic would be to leave the opening stock figure as it is,0,125724
1046,Then credit my direct costs and debit closing stock with our closing stock figure,3,125724
1047,Im a bit confused with how to handle this in Xero,0,125724
1048,Sage seemed more straightforward ,0,125724
1049,Any advice would be appreciated,4,125724
1050,Many thanks,4,125724
1051,Hi Got a serious issue this morning when trying to open old files uploaded in AP by receipt bank,0,140153
1052,I dont know what happened but since the big file rollout but I cannot open view nor download most of old files uploaded by receiptbank,1,140153
1053,Also tried in chrome and nothing,0,140153
1054,Scary,0,140153
1055,Please confirm you guys are working on this to fix it ASAP,3,140153
1056,Thanks,4,140153
1057,Otherwise I just love the new file feature ,0,140153
1058,keep up the good work,4,140153
1059,I have searched the FAQs but cant find the instructions,0,127017
1060,Can anyone please help,3,127017
1061,Thanks,4,127017
1062,Can the batch payment report please list the payments in the order they are in the batch,3,128073
1063,I sorted a batch by supplier however the PDF has them listed in a seemingly random order,1,128073
1064,I provide the original invoices with the payment batch for tick off and it is easier if they are sorted alphabetically,0,128073
1065,If you are a user of Xero and Progressclaimcom tell us how you are getting on and your experience so far,0,138438
1066,Any tips,3,138438
1067,Progressclaimcom submit construction progress claims online from any device in seconds,0,138438
1068,Xero invoices created instantly with professional and compliant claims documentation attachedFor more information check out ,0,138438
1069,How do I set up an account for Discounts received from suppliers and what type please,3,127996
1070,Has anybody had experience accounting for Groupon deal payments in Xero,3,126511
1071,Hi AllIt would appear that when I run reports such as profit  loss that it calculates the sales etc when the invoice was dated and not when payment is received,1,126094
1072,Is it possible to change the settings so that the sale is added into the period when payment is received,3,126094
1073,Any help would be appreciated,4,126094
1074,Cheers,4,126094
1075,Hiya new to Xero and having a few issues can anyone please advise meI have bank fed and reconciled my accounts so that they balance,0,126263
1076,Do I now need to add in company receipts and invoices paid to bills or am I just repeating the process that reconciling does,3,126263
1077,if so what is the point in having Bills you need to pay,3,126263
1078,Thanks in advance,4,126263
1079,We love to hear how business owners are working with their accountant or bookkeeper beyond traditional compliance work,0,128987
1080,Share stories of what youve been doing with your advisors now youre collaborating together on Xero,3,128987
1081,When trying to edit invoices and quotes the reference number on the invoicequote keeps coming up as the invoice number,0,135470
1082,eg Invoice No  INV0019Reference should be  customers namebut it comes up as INV0019I went onto the docx file but it shows the invoiceNumber where the invoice number is and reference where reference is,1,135470
1083,Any ideas,3,135470
1084,This Xero  shows the process of entering receipts,0,134177
1085, It starts with the mobile app and then moves to the browser and at 50 seconds says just like the mobile app fill in the expense,0,134177
1086,Except from what I can see its not just like the mobile app,0,134177
1087,In the mobile app the user can assign expenses just as Id expect any expense app to work by assigning them to a category meals  also to the account it was paid from ie a company credit card or by the employee etc,0,134177
1088,In the browser I see no way to select the account the expense was paid from and therefore no way for the approver to know how the transaction was even paid for,1,134177
1089,Or for that matter for Xero to know where to assign the transaction,1,134177
1090,What am I missing,3,134177
1091,Thanks,4,134177
1092,I cant find a way to nominate an Bank account as closed so no new transactions but keep it in the system until the end of financial year,1,128850
1093,Has anyone done this,3,128850
1094,regards Ian,4,128850
1095,I have a new situation,0,134767
1096,A contractor who I normally pay had an invoice owing to me she pays a base rent when doesnt bring in any income,0,134767
1097,She had not paid by the time her next payment from me was made so I deducted the monies owing invoice amount from the bill amount I paid her,0,134767
1098,This means that I now have 2 items to deal with1  the original invoice she owed eg 500 looks like its still owing2  the payment I made to her looks like a part payment of a bill ie I created the bill as usual for her consulting fees then deducted what she owed me,1,134767
1099,So bill 2000 I paid her 1500,0,134767
1100,Any ideas on how to rectify,3,134767
1101,I am working with a client who originally set up their company file in September and added some transactions to the end of the year but did not really start using Xero until January 1 2012,0,136639
1102,If I change the conversion date to 123111 what happens to the prior transactions,3,136639
1103,Does Xero ignore them,3,136639
1104,Do we need to void them,3,136639
1105,Just trying to figure out the most efficient way to do this,0,136639
1106,If you are a user of Xero and Receipt Bank tell us how you are getting on and your experience so far,0,138800
1107,Any tips,3,138800
1108,Receipt Bank converts those annoying bits of paper ï¿½ receipts and invoices  into Xero data check out ,0,138800
1109,It would be great if we could copy an existing standard invoice to a new repeating template,0,135170
1110,Does anyone know of an App that will allow me to raise invoices in a foreign language,3,138959
1111,We need to send out invoices in Japanese and would love to be able to do this without a separate task to duplicate the invoice details,0,138959
1112,Hi thereIve successfully been doing payroll for a couple of months but in December I have a strange occurrence,0,137358
1113,I set the payment up automatically in my bank account so it was paid over the holidays,0,137358
1114,I then reconciled when it came through into Xero,0,137358
1115,But now in my payroll report it shows a deficit for December with the value in brackets,1,137358
